"ID","CODE","TYPE","LANGUAGE","CLASSIFIER","LABEL"
"92ad5434-9e5d-43ea-9cee-c987bc1443a8",18109,"AVAM","de","f","Chef-Reitgehilfin"
"c8941f0d-73f4-4921-854b-dcc56310c135",18111,"AVAM","de","f","Stallmeisterin"
"8ed2aa52-79c7-4887-8d26-b02d93ed156c",18112,"AVAM","de","f","Oberstallmeisterin"
"925971bb-4daf-402c-bfc3-c22c36e9bf5c",18113,"AVAM","de","f","Reitstallgehilfin"
"0d751444-a813-41b9-a89d-17c02a0402e9",18114,"AVAM","de","f","Pferdewartin EBA"
"23b7fd05-fd9b-48a0-bda1-918cbfd61a15",18115,"AVAM","de","f","Pferdefachfrau EFZ"
"e7789ad8-c55d-46ce-b17c-b1620e8e4bda",18200,"AVAM","de","f","Tierbetreuerinnen"
"4e1fef71-5c4e-4517-b825-0a9d650f15b9",18201,"AVAM","de","f","Hundecoiffeuse"
"849c704f-d441-4b2a-9709-aeff8f02b3bb",18202,"AVAM","de","f","Menageriewärterin"
"69b3c1ff-9c15-47bd-914b-3a99e5425d28",18203,"AVAM","de","f","Hundepflegerin"
"c800b469-bf0a-44ed-a3a8-e583a89fe47b",18204,"AVAM","de","f","Tierpflegerin"
"bdc2f5d9-cdc4-47c9-bf13-795a55eb93ca",18205,"AVAM","de","f","Hilfsarbeiterin Tiere"
"a74245d0-a48d-4976-ae83-0d8466ec8a1e",18207,"AVAM","de","f","Taxidermistin"
"5d0a9942-f9cd-4ed3-8c48-bdb1d83f26b3",18210,"AVAM","de","f","Zoowärterin"
"a6f3e832-f08c-42be-bece-7b790e2f0048",18211,"AVAM","de","f","Schafhirtin"
"40275daa-0a51-428c-9596-a8e11f2b200d",19001,"AVAM","de","f","Bannwartin"
"b6dceca6-4d15-48de-8fac-2a94ff4852ea",19002,"AVAM","de","f","Försterin"
"ed5e2dbd-c04a-4479-9229-5eb7afbb8ec0",19004,"AVAM","de","f","Oberförsterin"
"d9e31cf4-c40d-4551-a4d4-78e0542eba4d",19005,"AVAM","de","f","Wildaufseherin"
"d92cdb61-c675-43d3-9b39-c58e8fd2d6b6",19006,"AVAM","de","f","Forstwirtschafterin"
