id,x28_code,avam_code,code
29039194-c50b-4344-b92e-111a484a8e47,11000734,95503,33206004
007a9256-d3f5-4756-9db1-aed9f9399b85,11000735,68041,33206006
169c885a-b786-4d98-9d62-dd78eb8b74d0,11000736,68054,33206004
77091aed-c5ac-40e0-a004-97daa14d7745,11000737,62115,29112004
7d77bc2b-fe91-4cbb-8372-2dccb8902f88,11000738,73002,34106005
1b298f15-2a9e-4405-8950-5bb19d46cb20,11000739,75402,34404039
757ee80d-24e7-4151-9aa7-352090c5affd,11000740,95505,46103004
dd1a177e-e5b2-4149-8898-4572988765af,11000741,68020,33201001
8873fd82-5abe-47ce-8803-4c13b9b80666,11000742,60307,29104001
11975282-5959-4172-bb03-e4ec452682e8,11000744,88501,45304003
08079869-0290-44a6-b1cc-321de3fb61fd,11000746,62132,29112115
b291b791-8a44-45cf-ba97-4ef9beec8275,11000747,46318,25501006
d877068c-a3d1-4143-9f86-d4ac172f911e,11000748,63701,29207115
c7e9ef49-0a96-4440-af69-529ce65aad7e,11000749,54602,46105008
1d359655-ad17-4d4d-87ff-a2ea90559b58,11000750,47931,25405002
6d7febec-55a8-42f1-8f33-bfe542582bd6,11000751,89800,46108031
d6fcee70-7ea5-4157-8e40-db8cd614dc06,11000752,88412,45306004
9e742865-6ac6-4c76-9c5e-14fa2b89a2b7,11000753,88412,45306004
64e44f6e-961d-4863-85bd-59dba6efd325,11000755,61816,21202014
65b4c6a1-8ae8-4f01-85e1-e9dfa74536bf,11000756,60918,29112060
99c23151-cdad-45a4-ac9d-396473cae14e,11000758,62107,29112009
c7140a2f-1771-4c1b-bca2-81950ceb10dd,11000760,60918,29112060
1284ca7b-cb6c-4279-9113-47fedf42260b,11000761,88204,45305005
e93d9e0f-ccb9-4fe0-b65f-766fa4203ad4,11000762,34709,27104078
5c559e32-a8c3-4a30-ac56-e7d029050ca9,11000764,72204,33105090
b9cd2862-a8d3-4f18-badf-4e98b6aa0108,11000766,91113,37302022
beef99e6-51cc-4bab-a617-43269661f16a,11000767,91120,29207016
c0c726e4-bb02-434a-bb19-128a8ffc66ee,11000768,21402,21104004
fcfead9d-47cf-41f5-8d16-1938addd69a5,11000769,62132,29112115
0a2f6bd8-7ba4-414e-8baa-5fb259f331b2,11000770,65103,29401008
5d9e46ea-8d17-4854-a3ee-0fc9a5a532ed,11000771,63900,29207027
79533b23-a20b-4d9a-8530-3a5c0e6b6a3e,11000772,62132,29112115
265bdb88-72bf-492f-8f56-2b6528a74766,11000773,65103,29401008
281f44b4-fea7-40c0-bb28-944c132003cb,11000774,91120,29207016
c5c413ae-66f4-4b5f-949b-12df375cfa87,11000776,96105,46105037
06ec93cc-a387-4715-84e9-0be9936b803f,11000778,62122,29112129
b27c40da-fe2a-4156-8352-b4c24c77aab6,11000779,62122,29112129
f8f8a3eb-632a-44de-b03f-68e83da4d873,11000781,60918,29112060
8a218620-a9af-4aaf-905a-e3a4ac4fcaf6,11000782,37351,28104076
306ca085-f498-4cee-b00a-24c087700402,11000783,72504,32401012
6a2b73ba-0de0-497b-bf0f-1a863f721762,11000785,95406,46106047
4f96a6ba-ee6e-498d-9087-4f71625c1b00,11000789,95406,46106047
c805f936-a3fd-4d7a-bd61-aac6b802bfdd,11000790,96117,45306018
480da735-f1d2-4f03-b31b-a15863543466,11000791,15035,27201029
3ef967d6-873f-4cb3-8b50-313dbe6a0885,11000792,63906,23211025
777de8ce-683a-4bdb-9a9c-f673b9fc29ea,11000793,65606,29403001
425aa264-069c-4b91-bfb1-1abdb27beb45,11000794,60309,29104031
fe2d7f19-81f4-4ce5-8462-2d0dc766fd5e,11000795,61408,29104044
ca394d61-7476-44b1-8d44-a4172f99b51b,11000796,60918,29112060
fd655f46-472b-4dad-a010-622d2a4f39d6,11000797,65220,29403011
c119b614-7833-4ba2-a38c-181e5961dd2d,11000798,65220,29403011
10a090e5-4785-4f62-804f-e2de06cabd48,11000799,60918,29112060
37199e1b-c35d-4480-9cbb-cea767205f62,11000800,66530,29207061
4f516893-9e67-4220-bab1-55ea248f1c76,11000801,84306,36105013
b5289e85-1177-4973-813d-d820cc57a15d,11000802,96124,36105044
